Week,Content
4,Introduction
5,Risk assessments
6,CIS 20 critical controls
7,CIS 20 - CSC1 inventory of devices
8,CIS 20 - CSC2 inventory of software
9,CIS 20 - CSC3 secure configurations
10,CIS 20 - CSC4 vulnerablity assessments
11,CIS 20 - CSC5 administrative privileges
12,CIS 20
13,Easter
14,Router project
15,Router project (cont.)
16,Router project (cont.)
17,SSCP domain 1 - Access control
18,SSCP domain 2 - Security operations and administration
19,SSCP domain 6 - Networks and communications
20,SSCP domain 3 - Risk management
21,SSCP domain 4 - Incidence response and recovery
22,SSCP domain 5 - Cryptography
23,SSCP domain 7 - Systems and Application Security
24,MC exam

